day_of_season,sm_l1,sm_l2l3,vpd
1,0.09977149963378908,0.10951158783175156,58.881660577052195
2,0.09946823120117188,0.10945147321867761,55.36871494914608
3,0.09917259216308594,0.10939422364956351,64.78880884615408
4,0.09890874475240707,0.10933269701257156,61.92588623555769
5,0.098663330078125,0.10927358480557768,63.32315159597453
6,0.0984007492661476,0.10921516733122816,54.255740582009864
7,0.030975425599703812,0.10916692162119146,52.411114582522686
8,0.030891666697162926,0.10912794554421539,60.42894580981482
9,0.0977274551987648,0.10907141809427123,66.95640486190536
10,0.09742864221334457,0.10900846176696426,60.78312680783887
11,0.09713935852050781,0.10894255797675735,56.92831576125186
12,0.09686215966939926,0.10888140921037168,64.97992667194563
13,0.09656652063131332,0.10881497317306542,66.56149408244383
14,0.09624926000833511,0.10875043604255762,64.4376103891277
15,0.0959402695298195,0.10868621842113985,63.804628293199855
16,0.09567324072122574,0.10862530637728446,62.143557384261065
17,0.09541511535644533,0.10856810082043528,59.757876576471055
18,0.09513727575540543,0.10851104842179854,54.93881864830152
19,0.09486198425292969,0.10845329074698015,54.1625794389418
20,0.09458732604980469,0.10839088816345312,58.898333142795956
21,0.09429105371236801,0.10832055923262034,71.34998633248743
22,0.09398651123046875,0.10825177640493341,74.78856640649317
23,0.09366925805807114,0.10818643897723729,74.49862393691788
24,0.029377671406529283,0.10813221717397105,55.21084127172227
25,0.03260043756882964,0.1080937197010301,62.14171137179857
26,0.03601154513060099,0.10807764949811108,59.50460291872752
27,0.03518299871619244,0.10806742225763968,60.7745116412235
28,0.03439412627448051,0.10805923591334025,59.100240068024675
29,0.03363858860606564,0.10804963036130297,57.079588244215
30,0.03289688591916119,0.10803838427045856,59.31991644046809
31,0.03212143022602268,0.10803080963482689,61.30799452404418
32,0.031243648175531828,0.10802063274326283,69.0976042177639
33,0.03036210400141706,0.10800996665855159,64.68056235277331
34,0.02958335432807508,0.10800175192834068,51.98567461698182
35,0.028984252795657965,0.10798277907639836,48.4800055055904
36,0.028588947107615604,0.1079546368213102,42.792962965366364
37,0.03610674021060358,0.10794219969543081,40.99595137943949
38,0.05530831514367181,0.10793947127074263,46.178670583048095
39,0.05910700350644897,0.10793514380585552,39.747253554958014
40,0.06193165801787176,0.1079295541116609,46.2652611076352
41,0.05597432535404135,0.10792650917179575,57.65882104243764
42,0.05315071001713825,0.10792362092092642,60.14549543899028
43,0.05262173943641858,0.10791873008598547,46.59664700874736
44,0.05244459206767999,0.10791552107542278,42.166057083123654
45,0.052546102843522506,0.10791234473754259,52.139059334342285
46,0.05541183912239354,0.10790952240844766,37.66832180879353
47,0.0635773169810676,0.10790720013233837,33.06747935528227
48,0.0759518903149052,0.10790334553969708,35.99026451758601
49,0.1950330879441393,0.10795607215208208,25.95709431362996
50,0.2178738778057958,0.10838106147421216,19.849787000538782
51,0.18137065931491542,0.10856157783686687,18.59275307828749
52,0.17138556757856147,0.10867895643419152,28.37174993552287
53,0.13133966200417851,0.10873823747587237,27.950243368412494
54,0.10827155867982483,0.10875352637809113,21.947868897030418
55,0.1260299559761131,0.10876187828259706,25.299017513682237
56,0.1428636376780324,0.10878143523269346,26.477919854661724
57,0.1094485694154263,0.10878842232940501,31.756501502194237
58,0.0904269860064752,0.10878845085058617,30.951449531679792
59,0.08531926864327323,0.10878542226123855,37.08102755583987
60,0.08532417850678128,0.10878056578768656,33.05947889073748
61,0.11039715943353232,0.10878020301104574,29.321114973604708
62,0.09509180156229737,0.1087789828150719,38.698764416210395
63,0.07186172387641986,0.10877354782031193,36.29135841581524
64,0.09041876860018952,0.1087729538450474,23.535192531693266
65,0.15247970420174162,0.10900601244003777,22.906427629369087
66,0.15352763383681314,0.10935361945447357,24.567924755030106
67,0.14948164806268166,0.10954228090146015,25.219647224875395
68,0.20594433908604737,0.11159531586161639,21.949159029269396
69,0.17685438697962247,0.11210869881111783,22.78785802479215
70,0.27146868228578647,0.11272904182987485,18.177633185802755
71,0.22264348934905923,0.11317043821752687,24.426439590154942
72,0.1755339905675101,0.11325027419091704,25.33291018020151
73,0.14566054228838438,0.11325556887943164,20.554675594831817
74,0.1216039663991468,0.11325069165928724,31.075508117946477
75,0.09323485240450229,0.11324251449343226,38.72080805927846
76,0.07392159593562295,0.11323551382417876,39.03785435116193
77,0.07108788902216308,0.1132246652582725,40.652495772248216
78,0.07884600324926203,0.11321705970941238,44.97604709745489
79,0.0729705861794892,0.11320932681713539,51.78784949168172
80,0.060559940663370546,0.11319620808501644,49.441676141391625
81,0.062247744243659815,0.11318710358578091,40.2540506270431
82,0.06516749127595632,0.11317901336795513,41.60867432617445
83,0.05990172527744585,0.11317092696380707,61.01669292838612
84,0.057785881475889256,0.11316304213444528,57.78669176197873
85,0.0671631773913599,0.11315066141286159,37.43173243254868
86,0.08205943701512905,0.11314282019855533,36.387126846344216
87,0.08204732083108845,0.11313331614982622,40.49962413540702
88,0.1084833129720108,0.11313080999079034,30.578263539186253
89,0.17859561886218409,0.11324458244242426,24.19515410174808
90,0.3369393500618632,0.11581101080432918,20.40371111562978
91,0.29186959849710464,0.1187245520131771,22.13546669649337
92,0.23872442017892645,0.11938648573238601,21.58610477802058
93,0.19669218196067362,0.11947183660617025,26.066950263095606
94,0.15176006230549818,0.11942160444303264,47.5392990761706
95,0.10530342585776009,0.1193390583306331,44.474194415986574
96,0.08039585055900177,0.11925984056940354,46.002846540836735
97,0.07034489683644066,0.11918738506969155,39.41739649554109
98,0.1065577118863358,0.11912287517506956,42.109500061432755
99,0.15715754742907403,0.11913807344507023,31.78566666671115
100,0.12049537024404482,0.11911313288179075,38.0087767321893
101,0.08951072899573904,0.11906973910324596,50.18070726117222
102,0.06605534149043972,0.11903661896318779,54.52340229826299
103,0.05888239526773198,0.11900672724197292,44.71504508835767
104,0.05764604649453089,0.1189823122303925,55.00226703306892
105,0.05701715862595761,0.11896177720204154,50.956442093638245
106,0.06388721348816061,0.11894562478305468,36.968966007316645
107,0.08018706249819088,0.1189330283768303,34.92958485289607
108,0.07785877117351592,0.1189202639737498,49.871188287456626
109,0.06124991363533955,0.11890717782974301,52.54323340303855
110,0.057869016645758185,0.118897299205468,51.43723596285642
111,0.0572050136240801,0.11888710902731389,45.77979905572694
112,0.05660471936691976,0.11887500739689609,50.18948471492743
113,0.056025473596860866,0.11886191708282291,53.01712361462657
114,0.05541491125193285,0.11885032953380648,54.65909073526411
115,0.05479202545783427,0.11884135746026334,55.21702506518266
116,0.0541796501888836,0.11882909628851515,52.85559077300664
117,0.05354000343636323,0.11881858068290307,54.08709631040721
118,0.052909042188789085,0.11880415075387044,51.850661907080955
119,0.052409749904881925,0.11879436999681765,53.17651948097012
120,0.051830713985555804,0.11878063974412677,56.91176737526835
121,0.051066831197986676,0.11877305407239598,55.80726391530058
122,0.0504100595766435,0.11875631998100729,58.87092561815468
123,0.04975719199998089,0.11874848982984745,57.94147377354259
124,0.049091960802840076,0.11873362006353956,56.389583100168174
125,0.04849436168312862,0.11872706875787047,49.88807604389288
126,0.04798585633342288,0.11871202042286595,51.16030184076025
127,0.04738559664531271,0.11870366012785678,55.48465599400428
128,0.046748177415296105,0.1186874461917061,51.36623116739966
129,0.04613849694432576,0.11867749054720528,53.51910189341951
130,0.045755275276922705,0.11864920933226968,55.208440881473166
131,0.04548922104489119,0.11861506694041835,51.76669512922767
132,0.04531522777574757,0.1185678825974827,53.60549964537437
133,0.045159511014082124,0.11852547586077829,57.427738822681
134,0.04500913771198292,0.11848110301671533,53.30449011495046
135,0.04487089023501469,0.11844041922961002,51.821956209168825
136,0.0447351082061399,0.11840002792487538,49.9451948414745
137,0.14188702404499054,0.11835013539354909,53.03611533127642
138,0.14167849719524384,0.11829660721598612,56.43260744358384
139,0.14146678149700165,0.11824521524673019,55.27546337194064
140,0.14124362170696259,0.11819237918793145,59.2702545391687
141,0.1410198211669922,0.11814207000294383,52.45759185665336
142,0.14080174267292023,0.11809487758315039,57.506025572111874
143,0.14058621227741241,0.11804344146837473,54.07375758931691
144,0.14040248095989227,0.11799589432198877,51.505148748719954
145,0.14025814831256866,0.11795554575514688,45.98020139517494
146,0.14013545215129852,0.11791423177516736,45.680627973213475
147,0.14000384509563446,0.11787123456828769,47.151259672825645
148,0.1398944854736328,0.11782879968475798,46.45655141287589
149,0.13986332714557648,0.1177840847154345,48.96053512920786
150,0.13985252380371094,0.11773559998133384,49.24775145108613
